,ad_id,name,sample_type,page_type,parent_url,parent_url_len,ad_screenshot,page_screenshot,url_similarity,TLD,TLD_len,NoOfSubDomain,HasObfuscation,ObfRatio,NoOfLettersInURL,letter_ratio_in_url,NoOfDigitsInURL,Digits_ratio_in_url,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,ad_screenshot_text
0,346865,Charities and PSAs,adjusted_news,home,https://www.foxbusiness.com/,28,screenshots/e9d228d2-5374-4508-86ef-d86f4951f427.png,external_screenshots/aea4ef82-edee-49c7-9370-0ce58d013931.png,43.37,com,3,1,True,0.10714285714285714,22,0.7857142857142857,0,0.0,0,0,0,2,0.07142857142857142,True,File not found
1,322828,Charities and PSAs,adjusted_news,home,http://www.eatingwell.com/,26,screenshots/f2e3f87b-369f-489f-9738-8cd2f9de6b3c.png,external_screenshots/3e79b6c9-b7f6-4c68-b319-128fbd241488.png,31.01,com,3,1,True,0.1153846153846154,20,0.7692307692307693,0,0.0,0,0,0,2,0.07692307692307693,False,File not found
2,409214,Charities and PSAs,adjusted_news,article,https://www.greenvilleonline.com/story/news/2020/01/20/ask-lafleur-why-were-greenville-police-keeping-blue-lights-around-christmas/4453852002/,142,screenshots/7facadb1-900a-4192-a92b-8a84349fa13c.png,external_screenshots/71a7f444-8534-45de-8e7d-9d6b3cd62fbd.png,0.0,com,3,1,True,0.14788732394366194,101,0.7112676056338029,18,0.1267605633802817,0,0,0,2,0.014084507042253518,True,File not found
3,308364,Charities and PSAs,adjusted_news,home,https://movieweb.com/,21,screenshots/dc20d0e4-30e1-48e7-b940-43693168f97a.png,external_screenshots/f220ef3a-6153-4e79-a8d8-6913bc52f1de.png,25.23,com,3,0,True,0.09523809523809523,16,0.7619047619047619,0,0.0,0,0,0,1,0.047619047619047616,True,File not found
4,346865,Charities and PSAs,adjusted_news,home,https://www.foxbusiness.com/,28,screenshots/e9d228d2-5374-4508-86ef-d86f4951f427.png,external_screenshots/aea4ef82-edee-49c7-9370-0ce58d013931.png,43.37,com,3,1,True,0.10714285714285714,22,0.7857142857142857,0,0.0,0,0,0,2,0.07142857142857142,True,File not found
5,413023,Charities and PSAs,adjusted_news,article,https://www.syfy.com/syfywire/exclusive-sarah-kuhn-reveals-whats-next-for-her-superhero-series-with-haunted-heroine,115,screenshots/7bcdca4c-4aab-4ca3-bebc-e37e51552cb9.png,external_screenshots/ad5176f6-83c2-4897-8ce5-583fb372c8a4.png,0.0,com,3,1,True,0.026086956521739132,96,0.8347826086956521,0,0.0,0,0,0,2,0.017391304347826087,True,File not found
6,428979,Content Farm,adjusted_news,article,https://www.usatoday.com/story/sports/tennis/2020/01/22/australian-open-elliot-benchetrit-asks-ball-girl-peel-banana/4539840002/,128,screenshots/f514ad77-44b4-4ad8-87de-aa0066d3b55b.png,external_screenshots/ea2ee8b4-1fac-4d72-9076-462f6d94bf89.png,0.0,com,3,1,True,0.1640625,88,0.6875,18,0.140625,0,0,0,2,0.015625,True,File not found
7,434459,Content Farm,adjusted_news,article,https://www.theledger.com/zz/news/20200127/im-being-raped-weinstein-accuser-details-alleged-assault/1,101,screenshots/bd4d19e3-1328-4ce6-a52e-ce7e0d32598f.png,external_screenshots/338278ed-2182-463a-ba64-d085567e9113.png,26.42,com,3,1,True,0.1188118811881188,75,0.7425742574257426,9,0.0891089108910891,0,0,0,2,0.0198019801980198,True,File not found
8,314253,Content Farm,adjusted_news,home,https://www.usatoday.com/,25,screenshots/6bfd5a52-ef08-45a2-bd67-405d16e3b0b4.png,external_screenshots/5b98326a-3116-43e9-9696-661f001903fb.png,14.63,com,3,1,True,0.12,19,0.76,0,0.0,0,0,0,2,0.08,True,File not found
9,428315,Content Farm,adjusted_news,article,https://www.mensjournal.com/health-fitness/how-sebastian-stan-trains-to-play-marvels-winter-soldier/,100,screenshots/5526a3d0-f8c1-481e-a713-f595aa4266cd.png,external_screenshots/e1fc62cf-ff32-4484-84e8-a32eed094e22.png,0.0,com,3,1,True,0.03,83,0.83,0,0.0,0,0,0,2,0.02,True,File not found
